190,'FRANKIE AVALON','WHERE ARE YOU',0
191,'FRANKIE AVALON','TOGETHERNESS',0
192,'FRANKIE AVALON','YOU ARE MINE',0
193,'AVANTE-GARDE','NATURALLY STONED',0
194,'AVERAGE WHITE BAND','PICK UP THE PIECES',1
195,'AVERAGE WHITE BAND','CUT THE CAKE',0
196,'AVERAGE WHITE BAND','IF I EVER LOSE THIS HEAVEN',0
197,'AVERAGE WHITE BAND','SCHOOL BOY CRUSH',0
198,'AVERAGE WHITE BAND','QUEEN OF MY SOUL',0
199,'BABYS','ISN*T IT TIME',0
200,'BABYS','EVERY TIME I THINK OF YOU',0
201,'BABYS','BACK ON MY FEET AGAIN',0
202,'BACHELORS','DIANE',0
203,'BACHELORS','I BELIEVE',0
204,'BACHELORS','NO ARMS CAN EVER HOLD YOU',0
205,'BACHELORS','MARIE',0
206,'BACHELORS','CHAPEL IN THE MOONLIGHT',0
207,'BACHELORS','LOVE ME WITH ALL OF YOUR HEART',0
208,'BACHMAN-TURNER OVERDRIVE','LET IT RIDE',0
209,'BACHMAN-TURNER OVERDRIVE','TAKING CARE OF BUSINESS',0
210,'BACHMAN-TURNER OVERDRIVE','YOU AIN*T SEEN NOTHIN* YET / FREE WHEELIN*',1
211,'BACHMAN-TURNER OVERDRIVE','ROLL ON DOWN THE HIGHWAY',0
212,'BACHMAN-TURNER OVERDRIVE','HEY YOU',0
213,'BACHMAN-TURNER OVERDRIVE','TAKE IT LIKE A MAN',0
214,'BAD COMPANY','CAN*T GET ENOUGH',0
215,'BAD COMPANY','MOVIN* ON',0
216,'BAD COMPANY','GOOD LOVIN* GONE BAD',0
217,'BAD COMPANY','FEEL LIKE MAKIN* LOVE',0
218,'BAD COMPANY','YOUNG BLOOD',0
219,'BAD COMPANY','ROCK *N* ROLL FANTASY',0
220,'BADFINGER','COME AND GET IT',0
221,'BADFINGER','NO MATTER WHAT',0
222,'BADFINGER','DAY AFTER DAY',0
223,'BADFINGER','BABY BLUE',0
224,'JOAN BAEZ','THE NIGHT THEY DROVE OLD DIXIE DOWN',0
225,'JOAN BAEZ','DIAMONDS AND RUST',0
226,'GEORGE BAKER SELECTION','LITTLE GREEN BAG',0
227,'GEORGE BAKER SELECTION','PALOMA BLANCA',0
228,'LAVERN BAKER','JIM DANDY',0
229,'LAVERN BAKER','I CRIED A TEAR',0
230,'LAVERN BAKER','I WAITED TOO LONG',0
231,'LAVERN BAKER','SAVED',0
232,'LAVERN BAKER','SEE SEE RIDER',0
233,'KENNY BALL','MIDNIGHT IN MOSCOW',0
234,'HANK BALLARD / MIDNIGHTERS','FINGER POPPIN* TIME',0
235,'HANK BALLARD / MIDNIGHTERS','THE TWIST',0
236,'HANK BALLARD / MIDNIGHTERS','LET*S GO; LET*S GO; LET*S GO',0
237,'HANK BALLARD / MIDNIGHTERS','HOOCHIE COOCHIE COO',0
238,'HANK BALLARD / MIDNIGHTERS','LET*S GO AGAIN (WHERE WE WENT LAST NIGHT)',0
239,'HANK BALLARD / MIDNIGHTERS','CONTINENTAL WALK',0
240,'HANK BALLARD / MIDNIGHTERS','THE SWITCH-A-ROO',0
241,'BALLOON FARM','A QUESTION OF TEMPERATURE',0
242,'BAND','UP ON CRIPPLE CREEK',0
243,'BAND','DON*T DO IT',0
244,'DARRELL BANKS','OPEN THE DOOR TO YOUR HEART',0
245,'BAR-KAYS','SOUL FINGER',0
246,'BAR-KAYS','SHAKE YOUR RUMP TO THE FUNK',0
247,'CHRIS BARBER*S JAZZ BAND','PETITE FLEUR',0
248,'KEITH BARBOUR','ECHO PARK',0
249,'BOBBY BARE','THE ALL AMERICAN BOY',0
